id,device,timestamp,configUpdatePeriod,configUpdateUrl,dataArchivePeriod,dataRequests_edu.mit.media.funf.probe.builtin.HardwareInfoProbe_PERIOD,dataRequests_edu.mit.media.funf.probe.builtin.RunningApplicationsProbe_PERIOD,dataUploadPeriod,dataUploadUrl,name,version
7510e156-e6b5-4261-ad41-3c7276885575-1,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169002,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-2,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169047,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-3,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169065,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-4,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169088,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-5,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169098,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-6,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169146,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-7,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169155,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-8,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169170,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-9,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169179,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-10,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169196,3600,,3600,604802,60,3600,,example,1
7510e156-e6b5-4261-ad41-3c7276885575-11,1e3f5f38-e047-430e-a794-a5732d1f90ba,1337009169282,3600,,3600,604802,60,3600,,example,1
